1,1,Komitet Wyborczy Prawo i Sprawiedliwość,1,LIPIŃSKI,Adam Józef,M,Warszawa,ekonomista,Prawo i Sprawiedliwość,26 199,T
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,2,WITEK,Elżbieta Barbara,K,Jawor,nauczyciel,Prawo i Sprawiedliwość,22 168,T
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,3,MACHAŁEK,Marzena Anna,K,Jelenia Góra,parlamentarzysta,Prawo i Sprawiedliwość,14 608,T
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,4,KUBÓW,Krzysztof Jan,M,Lubin,administratywista,Prawo i Sprawiedliwość,14 551,T
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,5,ZUBOWSKI,Wojciech Michał,M,Głogów,parlamentarzysta,Prawo i Sprawiedliwość,10 802,T
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,6,LEWANDOWSKI,Tadeusz Stefan,M,Jelenia Góra,technik mechanik,Prawo i Sprawiedliwość,2 831,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,7,KULCZYCKI,Roman Marian,M,Lwówek Śląski,przedstawiciel władzy samorządowej,Prawo i Sprawiedliwość,2 824,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,8,POTYCZ,Stanisław Andrzej,M,Legnica,radca prawny,nie należy do partii politycznej,2 476,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,9,STACHYRA,Jerzy Grzegorz,M,Bogatynia,filolog angielski,Prawo i Sprawiedliwość,3 329,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,10,KARWAN,Jacek,M,Gierałtowiec,inżynier ochrony środowiska,Prawo i Sprawiedliwość,3 378,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,11,MARCINIAK,Wojciech,M,Sobin,nauczyciel,Prawo i Sprawiedliwość,1 973,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,12,SZYMAŃSKA,Ewa Zofia,K,Legnica,ekonomista,Prawo i Sprawiedliwość,5 712,T
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,13,GĘBORYS,Dagmara Helena,K,Kamienna Góra,przedsiębiorca,nie należy do partii politycznej,473,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,14,BACZYŃSKI,Jacek Marcin,M,Legnica,ekonomista,Prawo i Sprawiedliwość,3 932,
